"Name","Disabled","NPC","WaitTimeMS","EndCondition","StartingTutorial","DragExportName","TargetCard","TargetCard2","UnitTileX","UnitTileY","Dependency","PreCondition","TutorialCharacterExportName","CommanderText","BlockInput","HilightObject","ReticleX","ReticleY","HideBattleLineup"
"String","boolean","String","int","String","boolean","String","String","String","int","int","String","String","String","String","boolean","int","int","int","boolean"
"Welcome_Delay",,"Tutorial_1",2500,,"TRUE",,,,,,,,"tutorial_input_blocker",,"true",,,,
"Welcome",,"Tutorial_1",,"RemoveTooltip","TRUE",,,,,,"Welcome_Delay",,"tutorial_character","TID_COMMANDER_TEXT_WELCOME",,,,,
"Welcome2",,"Tutorial_1",,"RemoveTooltip","TRUE",,,,,,"Welcome",,"tutorial_character","TID_COMMANDER_TEXT_WELCOME2",,,,,
"TrainUnits",,"Tutorial_1",,"TrainTroop","TRUE",,"Grenade",,,,"Welcome2",,,,,,,,
"UnlockAirdrop_Delay",,"Tutorial_2",2500,,"TRUE",,,,,,,,"tutorial_input_blocker",,"true",,,,
"UnlockAirdrop",,"Tutorial_2",,"RemoveTooltip","TRUE",,,,,,"UnlockAirdrop_Delay",,"tutorial_character","TID_COMMANDER_TEXT_AIRDROP_UNLOCKED",,,,,
"TrainAirdrop",,"Tutorial_2",,"TrainAirdrop","TRUE",,"ArcadeDrop","Grenade",,,"UnlockAirdrop",,,,,,,,
"UpgradeUnits_Delay",,,2000,,"TRUE",,,,,,"TrainAirdrop","CardsToUpgrade","tutorial_input_blocker",,"true",,,,
"UpgradeUnits",,,,"UpgradeTroop","TRUE",,,,,,"UpgradeUnits_Delay",,,,,,,,
"UpgradeHQ_Delay",,,1500,,"TRUE",,,,,,"UpgradeUnits","CanUpgradeHQ","tutorial_input_blocker",,"true",,,,
"UpgradeHQ_Dude",,,,"RemoveTooltip","TRUE",,,,,,"UpgradeHQ_Delay",,"tutorial_character","TID_COMMANDER_TEXT_UPGRADE_HQ",,,,,
"UpgradeHQ",,,,"UpgradeHQ","TRUE",,,,,,"UpgradeHQ_Dude",,,,,,,,
"UpgradeHelicopter_Delay",,,1500,,"TRUE",,,,,,"UpgradeHQ","CanUpgradeHelicopter","tutorial_input_blocker",,"true",,,,
"UpgradeHelicopter_Dude",,,,"RemoveTooltip","TRUE",,,,,,"UpgradeHelicopter_Delay",,"tutorial_character","TID_COMMANDER_TEXT_UPGRADE_HELI",,,,,
"UpgradeHelicopter",,,,"UpgradeHelicopter","TRUE",,,,,,"UpgradeHelicopter_Dude",,,,,,,,
"Defence_Delay",,,1500,,,,,,,,"UpgradeHelicopter","CanGoToOutpost","tutorial_input_blocker",,"true",,,,
"Defence_Dude",,,,"RemoveTooltip",,,,,,,"Defence_Delay",,"tutorial_character","TID_COMMANDER_TEXT_OUTPOST",,,,,
"Defence_Go",,,,"DefenceVisited",,,,,,,"Defence_Dude",,,,,,,,
"ShuffleUnits1",,,500,,,,,,,,"Defence_Go","ShuffleActive","tutorial_input_blocker",,"true",,,,
"ShuffleUnits2",,,,"RemoveTooltip",,,,,,,"ShuffleUnits1","TrainPopOpen","tutorial_character","TID_COMMANDER_TEXT_SHUFFLE",,,,,
